"0","0","0","140.363","242.722","0.244233","84.1019","252.87","0.232165","0","0","0","0","0","0","183.334","226.309","0.120201","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","189.572","98.9582","0.357725","0","0","0"
"0","0","0","138.789","240.359","0.284387","84.8766","252.876","0.224732","0","0","0","0","0","0","180.986","216.152","0.177698","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190.367","101.286","0.325069","0","0","0"
"0","0","0","138.011","240.385","0.277055","84.8919","253.649","0.228029","0","0","0","0","0","0","178.662","216.944","0.159491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","189.588","103.647","0.357515","0","0","0"
"0","0","0","136.449","241.157","0.251044","84.894","253.65","0.208383","0","0","0","0","0","0","178.653","219.283","0.169229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190.343","105.98","0.421456","0","0","0"
"260.703","135.701","0.71196","241.935","248.187","0.0963329","88.0101","254.432","0.190132","0","0","0","0","0","0","302.097","251.317","0.140817","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","232.564","103.644","0.7963","290.347","115.328","0.760421","184.916","109.083","0.44282","318.515","132.551","0.286307"
"259.907","135.686","0.734888","218.495","244.275","0.077271","88.796","256","0.200022","0","0","0","0","0","0","292.721","250.533","0.173057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","231.768","103.652","0.790155","288.818","115.327","0.734459","181.774","109.11","0.393301","319.293","127.859","0.238778"
"259.901","134.098","0.728355","219.279","245.84","0.0944409","88.0135","256","0.214061","0","0","0","0","0","0","294.285","255.214","0.157369","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","229.453","102.843","0.787727","287.254","110.698","0.719993","181.783","105.193","0.347595","315.397","130.212","0.301676"
"0","0","0","137.231","242.718","0.307026","87.2322","253.662","0.250938","0","0","0","0","0","0","179.423","222.395","0.158407","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","181.764","102.071","0.349516","0","0","0"
"0","0","0","134.892","246.614","0.252193","84.1058","253.664","0.229932","0","0","0","0","0","0","179.438","234.122","0.110203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","178.663","102.868","0.335064","0","0","0"
"0","0","0","135.667","246.625","0.259391","84.0968","255.216","0.230705","0","0","0","0","0","0","180.99","236.469","0.110503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","180.2","96.6069","0.303332","0","0","0"
